codigo_postal,provincia,municipio_nombre,poblacion_actual,poblacion_hace_5a,crecimiento_%,supera_20k,crecimiento_positivo,precio_m2,variacion_anual_%,variacion_maximo_%,en_maximo_historico,precio_anual_positivo,fuente_precio,tiene_supermercado,tiene_colegio,tiene_instituto,tiene_universidad,tiene_centro_salud,tiene_todos_servicios,tiene_mercadona
03007,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,1766.736621,11.69,0.0,True,True,notariado,True,True,True,False,True,False,True
03008,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,2482.257095,11.69,0.0,True,True,notariado,False,False,False,False,True,False,True
03009,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,1488.657919,11.69,0.0,True,True,notariado,False,False,False,False,True,False,True
03010,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,1475.330618,11.69,0.0,True,True,notariado,False,True,False,False,True,False,True
03138,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,2692.307692,11.69,0.0,True,True,notariado,False,False,False,False,False,False,False
03012,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,1373.675838,11.69,0.0,True,True,notariado,False,True,False,False,False,False,True
03013,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,1630.121136,11.69,0.0,True,True,notariado,False,True,False,False,True,False,True
03014,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,877.669777,11.69,0.0,True,True,notariado,False,True,True,False,False,False,True
03015,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,1551.288688,11.69,0.0,True,True,notariado,True,True,True,False,True,False,True
03112,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,1233.969753,11.69,0.0,True,True,notariado,False,False,False,False,True,False,True
03540,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,3429.993258,11.69,0.0,True,True,notariado,False,True,False,False,True,False,True
03115,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,2265.3,11.69,0.0,True,True,mivau,False,False,False,False,False,False,True
03001,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,2768.647219,11.69,0.0,True,True,notariado,False,False,False,False,True,False,True
03114,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,1753.420217,11.69,0.0,True,True,notariado,False,False,False,False,False,False,True
03559,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,2118.722706,11.69,0.0,True,True,notariado,False,False,False,False,False,False,True
03016,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,2757.725747,11.69,0.0,True,True,notariado,False,False,False,False,True,False,True
43100,Tarragona,Tarragona,87480.8,81677.2,7.11,True,True,1050.326085,9.95,-26.93,False,True,notariado,False,False,False,False,True,False,True
43130,Tarragona,Tarragona,87480.8,81677.2,7.11,True,True,1071.295168,9.95,-26.93,False,True,notariado,False,False,False,False,True,False,True
43002,Tarragona,Tarragona,87480.8,81677.2,7.11,True,True,1837.068995,9.95,-26.93,False,True,notariado,False,False,False,True,False,False,True
43001,Tarragona,Tarragona,87480.8,81677.2,7.11,True,True,1991.222203,9.95,-26.93,False,True,notariado,False,False,False,False,False,False,True
43008,Tarragona,Tarragona,87480.8,81677.2,7.11,True,True,2336.046256,9.95,-26.93,False,True,notariado,False,False,False,False,False,False,True
43006,Tarragona,Tarragona,87480.8,81677.2,7.11,True,True,1051.869401,9.95,-26.93,False,True,notariado,False,False,False,False,True,False,True
43005,Tarragona,Tarragona,87480.8,81677.2,7.11,True,True,2274.033723,9.95,-26.93,False,True,notariado,False,False,False,False,True,False,True
43007,Tarragona,Tarragona,87480.8,81677.2,7.11,True,True,2106.769309,9.95,-26.93,False,True,notariado,True,True,True,False,True,False,True
43003,Tarragona,Tarragona,87480.8,81677.2,7.11,True,True,2116.64213,9.95,-26.93,False,True,notariado,True,False,False,False,False,False,True
43004,Tarragona,Tarragona,87480.8,81677.2,7.11,True,True,1720.89622,9.95,-26.93,False,True,notariado,False,True,False,False,False,False,True
15008,A Coruña,"Arteixo, Coruña, A",81441.29999999999,80244.0,1.49,True,True,1949.255758,22.75,0.0,True,True,notariado,True,True,True,True,True,True,True
15010,A Coruña,"Coruña, A",75707.46666666666,74787.66666666667,1.23,True,True,2018.823346,,,False,False,notariado,True,True,True,False,True,False,True
15009,A Coruña,"Coruña, A",75707.46666666666,74787.66666666667,1.23,True,True,2474.890324,,,False,False,notariado,True,True,True,False,True,False,True
15004,A Coruña,"Coruña, A",75707.46666666666,74787.66666666667,1.23,True,True,3116.590828,,,False,False,notariado,True,True,False,False,False,False,True
15011,A Coruña,"Coruña, A",75707.46666666666,74787.66666666667,1.23,True,True,2750.767371,,,False,False,notariado,True,True,True,True,True,True,True
15007,A Coruña,"Coruña, A",75707.46666666666,74787.66666666667,1.23,True,True,2274.949624,,,False,False,notariado,True,True,True,True,True,True,True
15001,A Coruña,"Coruña, A",75707.46666666666,74787.66666666667,1.23,True,True,2897.152464,,,False,False,notariado,True,True,False,False,True,False,True
15006,A Coruña,"Coruña, A",75707.46666666666,74787.66666666667,1.23,True,True,3135.454696,,,False,False,notariado,True,True,False,False,True,False,True
15005,A Coruña,"Coruña, A",75707.46666666666,74787.66666666667,1.23,True,True,3012.705167,,,False,False,notariado,True,False,False,False,True,False,True
15003,A Coruña,"Coruña, A",75707.46666666666,74787.66666666667,1.23,True,True,3432.316116,,,False,False,notariado,True,False,False,False,True,False,True
15192,A Coruña,"Coruña, A",75707.46666666666,74787.66666666667,1.23,True,True,,,,False,False,mivau,False,False,False,False,False,False,False
15191,A Coruña,"Coruña, A",75707.46666666666,74787.66666666667,1.23,True,True,,,,False,False,mivau,False,False,False,False,False,False,False
15190,A Coruña,"Coruña, A",75707.46666666666,74787.66666666667,1.23,True,True,1735.69383,,,False,False,notariado,True,True,False,False,True,False,True
15170,A Coruña,"Coruña, A",75707.46666666666,74787.66666666667,1.23,True,True,,,,False,False,mivau,False,False,False,False,False,False,False
15002,A Coruña,"Coruña, A",75707.46666666666,74787.66666666667,1.23,True,True,2680.071282,,,False,False,notariado,True,True,False,False,True,False,True
